sample_id_a,sample_id_b,standardized_log_rate_distance
15395,37318,4.643487826792664
15395,38506,4.202894782165007
15395,39172,4.836628837713721
15395,41698,4.034571309140461
15395,43651,4.34275141123333
15395,44207,3.4175106021705646
15395,46580,5.263740148759429
15395,46829,3.1787309843560907
15395,47327,3.8345147034085674
15395,49029,4.74549269279884
16950,17407,4.054784717319329
16950,18319,4.6486527364026315
16950,26689,3.342372417288797
16950,27084,4.3371841520856
16950,27495,4.313946632843174
16950,27498,4.274793552872256
16950,27872,3.373522502376767
16950,28451,3.759704431740519
16950,28634,3.2071644238651453
16950,29419,4.220954705206901
16950,29959,4.847784015437476
16950,30902,3.1567322104626805
16950,31498,3.2988542780025725
16950,32755,4.451518985610109
16950,34287,3.385319314274065
16950,36402,4.1960529630961245
16950,37318,5.93143161161494
16950,38506,4.509858015603474
16950,39172,4.3355104913825055
16950,41698,4.027749060150604
16950,43651,3.8379524933082014
16950,44207,4.706256009432393
16950,46580,4.098852458540713
16950,46829,2.9811650552381295
16950,47327,2.3430084241245637
16950,49029,4.728452360741824
17407,18319,4.547011988165574
17407,26689,4.095556466419468
17407,27084,3.5980875288631404
17407,27495,3.701565719658659
17407,27498,4.529922423686505
17407,27872,3.5676604704751584
17407,28451,2.5579818610047136
17407,28634,5.114678423426382
17407,29419,3.0634156332863838
17407,29959,4.430513497071914
17407,30902,3.958046206083746
17407,31498,4.763687005801757
17407,32755,5.052076594350378
17407,34287,4.217756741717462
17407,36402,5.092320420916974
17407,37318,6.194912975609003
17407,38506,5.46394513487663
17407,39172,4.100846899479013
17407,41698,4.981944000901295
17407,43651,3.99737268388731
17407,44207,5.086100061725732
17407,46580,2.8472443893163732
17407,46829,5.335767930325749
17407,47327,4.920101288981009
17407,49029,3.947705608337477
18319,26689,3.287978704825788
18319,27084,3.383295643144362
18319,27495,3.0147430511981215
18319,27498,4.328137228287832
18319,27872,3.7278805850603964
18319,28451,4.364764287075378
18319,28634,5.017947369235319
18319,29419,4.26607690269629
18319,29959,4.816000566211355
18319,30902,3.8700572677703295
18319,31498,3.0513853722611
18319,32755,3.437747419971998
18319,34287,4.420579323492738
18319,36402,3.20564059459103
18319,37318,5.366132505980772
18319,38506,3.966433559442627
18319,39172,4.629090634980102
18319,41698,5.0311283524490955
18319,43651,2.7548696054799247
18319,44207,5.632680968767105
18319,46580,3.8541584845917556
18319,46829,4.20415421924157
18319,47327,3.348850990935065
18319,49029,3.1448458357075655
26689,27084,3.229062536276517
26689,27495,4.043413980092003
26689,27498,4.531264079345982
26689,27872,3.0615855900565903
26689,28451,3.9048017628193286
26689,28634,3.200544097446528
26689,29419,3.262022281660514
26689,29959,5.177853551584467
26689,30902,2.6259118245411632
26689,31498,3.6773407682753594
26689,32755,2.037321068640246
26689,34287,3.04388301607658
26689,36402,2.72432832728565
26689,37318,5.75492460557147
26689,38506,4.152943242997583
26689,39172,3.8644825002875387
26689,41698,3.8625435646469053
26689,43651,2.682932088326931
26689,44207,3.805149710557165
26689,46580,3.4747033311022926
26689,46829,3.0367096556929067
26689,47327,2.86403045296968
