prior,condition_id,G_peak,tau_G_ms,braess_fraction,braess_r_median,braess_r_q90,braess_r_max,fraction_reaches_experimental_min
reference,G250_T050,0.25,5.0,0.1062,1.0238666356645425,1.05565238495358,1.1183622063278076,0.0
reference,G250_T075,0.25,7.5,0.136,1.0236818113123247,1.0586141189887337,1.1545596784151646,0.0
reference,G250_T100,0.25,10.0,0.1428,1.022797308372756,1.0607806548625045,1.170176544427206,0.0
reference,G250_T150,0.25,15.0,0.1402,1.0191855821348093,1.0617771696271607,1.193402163231828,0.0
reference,G250_T200,0.25,20.0,0.1212,1.0169328666143158,1.0606313948514252,1.2101728344672529,0.0
reference,G250_T300,0.25,30.0,0.096,1.009200706148338,1.0584913264273283,1.1958128236995056,0.0
reference,G250_T400,0.25,40.0,0.0796,1.0072698272487624,1.0552891476459874,1.1659891236124045,0.0
reference,G300_T030,0.3,3.0,0.1092,1.023446148426214,1.0531718969208568,1.1090841405007688,0.0
reference,G300_T050,0.3,5.0,0.1966,1.0203819348225398,1.0536694131266928,1.1502952010189458,0.0
reference,G300_T075,0.3,7.5,0.2346,1.0207612552438607,1.053669456469957,1.153794565887448,0.0
reference,G300_T100,0.3,10.0,0.2458,1.020299388822392,1.0553108187287497,1.1573036632706064,0.0
reference,G300_T150,0.3,15.0,0.2334,1.0185030081341218,1.057054395601442,1.1751768738176724,0.0
reference,G300_T200,0.3,20.0,0.2086,1.0170338026454309,1.0594593980140192,1.1986039454040978,0.0
reference,G300_T300,0.3,30.0,0.1694,1.0109279581309176,1.0571596874424831,1.2392482631486996,0.0
reference,G300_T400,0.3,40.0,0.1442,1.0079962131836016,1.0531653201053528,1.2621194049418076,0.0
reference,G400_T030,0.4,3.0,0.273,1.0203469597916213,1.0499713770014236,1.1257594101685542,0.0
reference,G400_T050,0.4,5.0,0.3844,1.0188853038042616,1.0496091125836196,1.1336373075683506,0.0
reference,G400_T075,0.4,7.5,0.4338,1.0179095941931944,1.0497639083763897,1.13911642450746,0.0
reference,G400_T100,0.4,10.0,0.4434,1.0176234742542545,1.0504002254604297,1.1431437977266297,0.0
reference,G400_T150,0.4,15.0,0.4228,1.0175262042823028,1.0524105885742865,1.1538942310064737,0.0
reference,G400_T200,0.4,20.0,0.3894,1.016901351073506,1.053164895873345,1.164699855138044,0.0
reference,G400_T300,0.4,30.0,0.3344,1.0147957812243673,1.0521920777447138,1.1624872012119514,0.0
reference,G400_T400,0.4,40.0,0.2918,1.0123889209099453,1.053083138059268,1.1818405373826737,0.0
reference,G500_T030,0.5,3.0,0.4572,1.0172140662433553,1.046431799909351,1.126557054915711,0.0
reference,G500_T050,0.5,5.0,0.5706,1.0163672572567992,1.0424666354426642,1.115407998249396,0.0
reference,G500_T075,0.5,7.5,0.6094,1.0159646399313258,1.042122228578348,1.1244724023506605,0.0
reference,G500_T100,0.5,10.0,0.614,1.015984489066465,1.0427469605196524,1.1296598871742378,0.0
reference,G500_T150,0.5,15.0,0.5916,1.015757695559115,1.0443272869165627,1.1393682073129523,0.0
reference,G500_T200,0.5,20.0,0.5622,1.0154805653408037,1.0460193098689738,1.147461221368146,0.0
reference,G500_T300,0.5,30.0,0.4984,1.0151450130438802,1.0481828781989488,1.162889839986412,0.0
reference,G500_T400,0.5,40.0,0.4518,1.0137181298404925,1.0506820817076934,1.1645932900470315,0.0
reference,G650_T030,0.65,3.0,0.703,1.013936440073573,1.037034690336946,1.1107426970857115,0.0
reference,G650_T050,0.65,5.0,0.7802,1.0130325741927413,1.0346156354837748,1.143558843713945,0.0
reference,G650_T075,0.65,7.5,0.8064,1.0127158629313318,1.0340359841283484,1.1539746234333237,0.0
reference,G650_T100,0.65,10.0,0.808,1.0126098142323383,1.0343017812803343,1.1603667580381365,0.0
reference,G650_T150,0.65,15.0,0.788,1.0127445613626969,1.0355378463026172,1.1720860337112713,0.0
reference,G650_T200,0.65,20.0,0.7636,1.012939740132559,1.0365174570915452,1.1820776005924094,0.0
reference,G650_T300,0.65,30.0,0.7112,1.0135554153089703,1.0385272199714517,1.1942442837918754,0.0
reference,G650_T400,0.65,40.0,0.671,1.0133524027231402,1.0401995165097802,1.197243763867281,0.0
reference,G800_T030,0.8,3.0,0.88,1.010789103071575,1.0297991405928657,1.1339796414520291,0.0
reference,G800_T050,0.8,5.0,0.9158,1.0098411266489131,1.027323081673532,1.1170702431102844,0.0
reference,G800_T075,0.8,7.5,0.9224,1.0097213347693758,1.0268523790821436,1.1121184995530973,0.0
reference,G800_T100,0.8,10.0,0.9224,1.009741013060946,1.026798085886809,1.1129061373332358,0.0
reference,G800_T150,0.8,15.0,0.9176,1.0099584345482824,1.02775536574295,1.1199518165909113,0.0
reference,G800_T200,0.8,20.0,0.906,1.0102749009334904,1.028438441894265,1.1292833520332128,0.0
reference,G800_T300,0.8,30.0,0.8766,1.0107508572121089,1.0304363029307944,1.1481777281641292,0.0
reference,G800_T400,0.8,40.0,0.8532,1.011110980110364,1.031796893373785,1.1642990170465477,0.0
reference,G950_T030,0.95,3.0,0.9746,1.0074064522561583,1.0202701720764913,1.0817087084712609,0.0
reference,G950_T050,0.95,5.0,0.9806,1.0072047430042552,1.0194385179706644,1.0804550991997928,0.0
reference,G950_T075,0.95,7.5,0.9814,1.0071746836860622,1.0192620661803546,1.0803727151672098,0.0
reference,G950_T100,0.95,10.0,0.9814,1.007180300886513,1.0193286029570223,1.0808609022892104,0.0
reference,G950_T150,0.95,15.0,0.981,1.007258634692548,1.019557411919159,1.0823581139316447,0.0
reference,G950_T200,0.95,20.0,0.9786,1.007354890841332,1.0197893323013671,1.0840236119756637,0.0
reference,G950_T300,0.95,30.0,0.972,1.007600201746245,1.0205444688517726,1.0871863962039534,0.0
reference,G950_T400,0.95,40.0,0.9684,1.0078162265732415,1.0211110105403127,1.0898529468657725,0.0
